"","DC0","DBH0","TPH0","DCt"
"245",3,13.4,838.275839056,6
"246",2,8.6,252.8051736611,6
"247",1,6.6,342.0305290709,6
"248",1,20.4,1068.131476847,6
"249",2,26.3,1187.0986173934,6
"250",3,7.6,1112.7441545519,6
"251",1,5.8,719.3086985096,6
"252",3,8.9,1112.7441545519,6
"253",4,10.8,861.225374926101,6
"254",3,10.1,482.6608114521,6
"255",3,12.2,482.6608114521,6
"256",4,11.2,482.6608114521,6
"257",3,9.1,482.6608114521,6
"258",2,13.6,482.6608114521,6
"259",3,9.3,327.1596365026,6
"260",3,6,2091.6502759891,6
"261",1,7.9,727.3873418114,6
"262",2,11.1,505.6103473222,6
"263",3,10.2,2061.9084908525,6
"264",1,11.8,689.566913373,6
"265",2,15.4,118.9671405464,6
"266",2,9.6,1928.0704577378,6
"267",1,7,1928.0704577378,6
"268",2,6.3,794.9495553864,6
"269",2,7.7,794.9495553864,6
"270",2,6.8,5151.555242043,6
"271",2,5,1016.7265498756,6
"272",3,5.6,1803.5974619602,6
"273",4,7,2083.5716326873,6
"274",3,8.4,208.1924959562,6
"275",3,10.8,697.6455566748,6
"276",2,18.7,1120.8227978537,6
"277",3,5.7,644.9542356681,6
"278",3,5.4,1779.3615320548,6
"279",3,6.2,1779.3615320548,6
"280",4,5.5,1779.3615320548,6
"281",2,5.3,1779.3615320548,6
"282",3,5.3,1779.3615320548,6
"283",2,5.9,1779.3615320548,6
"284",2,6.2,1779.3615320548,6
"285",2,5.4,1779.3615320548,6
"286",3,5.4,1779.3615320548,6
"287",3,6.2,1779.3615320548,6
"288",4,5.5,1779.3615320548,6
"289",2,5.3,1779.3615320548,6
"290",3,5.3,1779.3615320548,6
"291",4,20,2321.5059137801,6
"292",1,6.5,557.0152742936,6
"293",1,6.5,557.0152742936,6
"294",1,5.3,548.9366309918,6
"295",1,5.3,1964.6044921409,6
"296",1,5.3,1964.6044921409,6
"297",2,12.3,1764.4906394865,6
"298",3,6.3,934.293443732301,6
"299",1,5.7,475.8685621856,6
"300",2,5.6,475.8685621856,6
"301",1,5.2,1342.5997923429,6
"302",1,7.6,1439.9037910545,6
"303",1,7,1439.9037910545,6
"304",2,6.1,1439.9037910545,6
"305",1,6.3,1439.9037910545,6
"306",1,7,1439.9037910545,6
"307",1,7.6,1439.9037910545,6
"308",2,6.1,1439.9037910545,6
"309",1,5.3,1439.9037910545,6
"310",2,12.6,2121.3920611257,6
"311",2,5,972.1138721707,6
"312",2,7.7,972.1138721707,6
"313",1,8,972.1138721707,6
"314",2,6.7,972.1138721707,6
"315",2,6.9,972.1138721707,6
"316",1,9.2,1077.4965141841,6
"317",3,5.4,1077.4965141841,6
"318",4,9.2,1453.4882895875,6
"319",3,5.5,980.192515472501,6
"320",3,6.1,2394.5739825863,6
"321",3,12.4,2394.5739825863,6
"322",4,5.4,1003.1420513426,6
"323",5,5.5,2521.6197664345,6
"324",1,6.3,2854.2852581683,6
"325",4,25,1906.407315903,6
"326",2,5.1,1069.4178708823,6
"327",3,10.7,1142.4859396885,6
"328",4,7.3,1453.4882895875,6
"329",1,6.2,861.225374926101,6
"330",2,9.1,861.225374926101,6
"331",5,6.4,1201.9695099617,6
"332",3,11.7,1201.9695099617,6
"333",2,5.8,1238.5035443648,6
"334",1,5.6,1668.4730348102,6
"335",2,6.7,1468.3591821558,6
"336",3,19.7,1779.3615320548,6
"337",2,7.2,3084.1408959593,6
"338",2,6.6,3084.1408959593,6
"339",3,5.2,3084.1408959593,6
"340",3,8.5,1869.8732814999,6
"341",3,8.3,1869.8732814999,6
"342",3,7.3,1869.8732814999,6
"343",3,5,1453.4882895875,6
"344",3,5.6,1453.4882895875,6
"345",3,5.9,1453.4882895875,6
"346",4,6.7,1453.4882895875,6
"347",4,5,3011.0728271531,6
"348",2,8.9,616.4988445668,6
"349",3,5.7,801.7418046529,6
"350",2,8.6,801.7418046529,6
"351",3,6.1,957.2429796024,6
"352",2,5.3,1558.8709316009,6
"353",3,5.7,2988.123291283,6
"354",3,7.9,2988.123291283,6
